kepid,koi_period,koi_time0bk,koi_depth,koi_duration,koi_prad,koi_teq,koi_insol,koi_slogg,koi_srad,koi_steff,koi_smass,koi_sage,expected_result,description
K00001,3.234567,2458321.567,150.5,2.45,1.2,1200.5,1.8,4.2,1.1,5800.5,1.05,4.5,positive,"Strong transit signal with good SNR"
K00002,5.678901,2458325.890,25.3,1.12,0.3,450.2,0.1,4.8,0.6,4200.8,0.55,0.5,negative,"Weak signal, likely noise"
K00003,7.890123,2458330.234,234.7,4.56,1.8,1400.7,3.2,4.1,1.3,6200.2,1.15,6.8,positive,"Clear transit with multiple observations"
K00004,2.345678,2458335.678,45.8,1.89,0.4,600.3,0.2,4.7,0.7,4600.5,0.65,0.9,negative,"Irregular light curve pattern"
K00005,9.012345,2458340.901,312.4,5.23,2.1,1600.8,5.1,4.0,1.5,6800.1,1.35,8.9,positive,"High SNR multi-planet system"
K00006,4.567890,2458345.456,15.6,0.78,0.2,350.4,0.05,4.9,0.5,4100.7,0.45,0.3,negative,"Very weak signal below detection threshold"
K00007,6.789012,2458350.789,176.2,3.45,1.4,1300.6,2.5,4.2,1.2,6000.3,1.10,5.6,positive,"Confirmed exoplanet with good parameters"
K00008,1.234567,2458355.123,38.3,1.23,0.3,550.8,0.15,4.6,0.8,4800.9,0.75,1.1,negative,"Variable star contamination"
K00009,8.901234,2458360.890,289.7,4.89,1.9,1500.2,4.3,4.1,1.4,6600.4,1.25,7.7,positive,"Strong candidate with good orbital period"
K00010,3.456789,2458365.345,67.8,1.34,0.5,750.5,0.3,4.5,0.9,5000.6,0.82,1.8,negative,"Inconsistent transit timing"
K00011,7.654321,2458370.765,201.5,3.87,1.5,1350.3,2.8,4.2,1.3,6100.7,1.12,6.2,positive,"Well-characterized hot Jupiter"
K00012,2.987654,2458375.298,52.9,1.51,0.4,650.4,0.25,4.6,0.8,4700.8,0.72,1.2,negative,"Secondary eclipse visible - eclipsing binary"
K00013,5.432109,2458380.543,267.3,4.23,1.7,1450.6,3.8,4.1,1.4,6400.2,1.22,7.3,positive,"Rocky planet in habitable zone"
K00014,4.321098,2458385.432,89.7,2.06,0.6,850.7,0.6,4.4,0.9,5200.5,0.88,2.5,negative,"Centroid offset detected"
K00015,8.765432,2458390.876,298.6,5.01,2.0,1550.8,4.7,4.0,1.5,6700.3,1.28,8.1,positive,"Long period gas giant"
K00016,1.876543,2458395.187,34.4,0.95,0.3,500.2,0.1,4.7,0.7,4500.6,0.62,0.7,negative,"Low SNR, high false positive probability"
K00017,6.543210,2458400.654,189.4,3.67,1.3,1280.4,2.3,4.2,1.2,5900.8,1.08,5.4,positive,"Confirmed with radial velocity follow-up"
K00018,9.876543,2458405.987,145.8,2.84,0.9,1050.7,1.5,4.3,1.1,5700.1,1.05,4.2,negative,"Odd-even depth variation"
K00019,2.109876,2458410.210,123.2,2.28,0.8,950.3,0.8,4.3,1.0,5500.7,0.95,3.1,positive,"Super-Earth in short orbit"
K00020,7.890123,2458415.789,78.7,1.82,0.5,750.5,0.4,4.5,0.9,5100.4,0.85,2.2,negative,"Background eclipsing binary"
